,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV,Tmag,Limiting,Saturation
23,rings.v3.skycell.1888.068.wrp.i.55645_49448,55645.4951355167,i,45,174.015081233646,26.633964819548,1888.068,Pan-STARRS1,,,2455645.995136,+11:36:03.6828,+26:38:03.369,5.505167939824894,6.388693421555305,18.80476595960199,4.467813003434192,150.06080364045062,-0.1617406004280434,0.0966295867252223,12.42011294984088,20.53216515820718,21.5,14.5
24,rings.v3.skycell.1888.068.wrp.i.55645_50575,55645.5064064167,i,45,174.014265502258,26.6344003146009,1888.068,Pan-STARRS1,,,2455646.006406,+11:36:03.4870,+26:38:04.937,5.505248797690736,6.388716717070241,18.804837664665936,4.468903654113444,150.05275221455932,-0.1617218814636448,0.0965851991971624,12.425194420334837,20.5322553254072,21.5,14.5
25,rings.v3.skycell.1888.068.wrp.i.55645_50645,55645.5071089167,i,45,174.014214658821,26.6344274584204,1888.068,Pan-STARRS1,,,2455646.007109,+11:36:03.4748,+26:38:05.035,5.505253842538307,6.388718170225519,18.804842138326112,4.4689716936619215,150.05224991016465,-0.1617207132174512,0.0965824302395616,12.425511377759443,20.53226094540721,21.5,14.5
26,rings.v3.skycell.1888.068.wrp.g.55646_32287,55646.3235147426,g,43,173.955369923228,26.6654692272604,1888.068,Pan-STARRS1,,,2455646.823515,+11:35:49.3533,+26:39:56.686,5.511199180767311,6.390407940785553,18.81010398611609,4.548513488461917,149.46329553044123,-0.1603168712418697,0.0933549386433286,12.792426790455988,20.5387921920144,21.5,14.5
27,rings.v3.skycell.1888.068.wrp.g.55646_32350,55646.3241429426,g,43,173.955324928403,26.6654925230102,1888.068,Pan-STARRS1,,,2455646.824143,+11:35:49.3425,+26:39:56.771,5.51120382059098,6.390409242288479,18.810108084649563,4.548575060766113,149.462838268808,-0.1603157551203787,0.0933524470423663,12.79270811247224,20.538797217614366,21.5,14.5
28,rings.v3.skycell.1888.068.wrp.g.55646_33453,55646.3351701426,g,43,173.954535105203,26.6659014483436,1888.068,Pan-STARRS1,,,2455646.83517,+11:35:49.1526,+26:39:58.253,5.5112853074784605,6.390432095688638,18.81018006317248,4.549656295882014,149.45480821836833,-0.1602961481630715,0.0933086950469025,12.797647587109717,20.538885435214382,21.5,14.5
29,rings.v3.skycell.1888.068.wrp.g.55646_33516,55646.3358106426,g,43,173.954489229391,26.6659252002187,1888.068,Pan-STARRS1,,,2455646.835811,+11:35:49.1415,+26:39:58.339,5.511290045282251,6.390433424182385,18.81018424802783,4.549719153497387,149.4543413710906,-0.1602950078815757,0.0933061516140974,12.79793470534804,20.5388905592144,21.5,14.5
30,rings.v3.skycell.1887.070.wrp.r.55655_29856,55655.2991998815,r,40,173.350062140685,26.9354126640168,1887.070,Pan-STARRS1,,,2455655.7992,+11:33:24.0652,+26:56:08.456,5.58764418415502,6.409273640554084,18.876331498415745,5.460035076315258,142.42240101203322,-0.1388304904626515,0.0567442572427001,16.638274960129294,20.60589796398487,21.5,14.5
31,rings.v3.skycell.1888.079.wrp.r.55655_29856,55655.2991998815,r,40,173.350062140685,26.9354126640168,1888.079,Pan-STARRS1,,,2455655.7992,+11:33:24.0652,+26:56:08.456,5.58764418415502,6.409273640554084,18.876331498415745,5.460035076315258,142.42240101203322,-0.1388304904626515,0.0567442572427001,16.638274960129294,20.60589796398487,21.5,14.5
32,rings.v3.skycell.1888.079.wrp.r.55655_29978,55655.3004057815,r,40,173.349987324639,26.9354396292807,1888.079,Pan-STARRS1,,,2455655.800406,+11:33:24.0471,+26:56:08.554,5.587655773170543,6.4092762107420045,18.876341376645357,5.460158714724478,142.42140324116357,-0.1388268930988473,0.0567392568987126,16.638764612525954,20.60590640528487,21.5,14.5
33,rings.v3.skycell.1887.070.wrp.r.55655_30753,55655.3081702815,r,40,173.349505602118,26.935613252128,1887.070,Pan-STARRS1,,,2455655.80817,+11:33:23.9311,+26:56:09.188,5.587730389205599,6.40929275734766,18.87640497676936,5.460954665730854,142.41497953760836,-0.138803729673203,0.0567070654690384,16.64191670545906,20.60596075678491,21.5,14.5
34,rings.v3.skycell.1888.079.wrp.r.55655_30753,55655.3081702815,r,40,173.349505602118,26.935613252128,1888.079,Pan-STARRS1,,,2455655.80817,+11:33:23.9311,+26:56:09.188,5.587730389205599,6.40929275734766,18.87640497676936,5.460954665730854,142.41497953760836,-0.138803729673203,0.0567070654690384,16.64191670545906,20.60596075678491,21.5,14.5
35,rings.v3.skycell.1887.070.wrp.r.55655_31669,55655.3173171815,r,40,173.348938113198,26.9358177869752,1887.070,Pan-STARRS1,,,2455655.817317,+11:33:23.7944,+26:56:09.935,5.58781831471677,6.409312251900346,18.87647991922526,5.461892378254339,142.40741103664556,-0.1387764306365165,0.0566691394104542,16.645629845344693,20.606024785084884,21.5,14.5
36,rings.v3.skycell.1888.079.wrp.r.55655_31669,55655.3173171815,r,40,173.348938113198,26.9358177869752,1888.079,Pan-STARRS1,,,2455655.817317,+11:33:23.7944,+26:56:09.935,5.58781831471677,6.409312251900346,18.87647991922526,5.461892378254339,142.40741103664556,-0.1387764306365165,0.0566691394104542,16.645629845344693,20.606024785084884,21.5,14.5
37,rings.v3.skycell.1888.079.wrp.r.55655_31791,55655.3185320815,r,40,173.348862738777,26.9358449534891,1888.079,Pan-STARRS1,,,2455655.818532,+11:33:23.7762,+26:56:10.034,5.587829995373693,6.409314841410566,18.87648987494038,5.462016933264297,142.4064056653475,-0.1387728037202569,0.0566641016464152,16.646123027814603,20.606033289384904,21.5,14.5
38,rings.v3.skycell.1887.070.wrp.r.55655_31851,55655.3191343815,r,40,173.348825371081,26.9358584215862,1887.070,Pan-STARRS1,,,2455655.819134,+11:33:23.7672,+26:56:10.083,5.587835782960152,6.409316124448322,18.876494807829022,5.462078646845002,142.4059075264721,-0.1387710066114006,0.0566616055642228,16.646367383679053,20.60603750548487,21.5,14.5
39,rings.v3.skycell.1888.079.wrp.r.55655_31851,55655.3191343815,r,40,173.348825371081,26.9358584215862,1888.079,Pan-STARRS1,,,2455655.819134,+11:33:23.7672,+26:56:10.083,5.587835782960152,6.409316124448322,18.876494807829022,5.462078646845002,142.4059075264721,-0.1387710066114006,0.0566616055642228,16.646367383679053,20.60603750548487,21.5,14.5
40,rings.v3.skycell.1887.070.wrp.i.55657_29377,55657.2944315167,i,45,173.228483867282,26.9773883339015,1887.070,Pan-STARRS1,,,2455657.794432,+11:32:54.8856,+26:58:39.604,5.607279396032772,6.413538734411614,18.89301057389929,5.663867626692662,140.7585531018152,-0.1326388609717915,0.0484664261381008,17.436945249605536,20.620864585431264,21.5,14.5
41,rings.v3.skycell.1887.070.wrp.i.55657_29576,55657.2964205167,i,45,173.228366101907,26.9774262354016,1887.070,Pan-STARRS1,,,2455657.796421,+11:32:54.8571,+26:58:39.743,5.607299426887006,6.413542999073928,18.893027532063392,5.664069935497514,140.75688221402902,-0.1326324538361063,0.0484581735357981,17.43772979108338,20.620878508431293,21.5,14.5
42,rings.v3.skycell.1887.070.wrp.i.55657_31733,55657.3179868167,i,45,173.227089197228,26.9778371932293,1887.070,Pan-STARRS1,,,2455657.817987,+11:32:54.5491,+26:58:41.246,5.607516671974791,6.413589240895873,18.893211444985663,5.666263361188723,140.7387639302644,-0.1325629542270535,0.0483686940870782,17.446234771231737,20.62102947253128,21.5,14.5
96,tu2187854.fits.fz 6dfa4d675c929ad0a4bb646778b84b08,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/6dfa4d675c929ad0a4bb646778b84b08,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,23.316697948507,23.7,16.0
97,tu2188400.fits.fz 8282c1096f073595c416c64cacf02348,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/8282c1096f073595c416c64cacf02348,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,23.316697948507,23.7,16.0
98,c4d_140217_080925_ori.fits.fz 38fe420e7a0de5577542c665155eb379,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/38fe420e7a0de5577542c665155eb379,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,23.316697948507,23.7,16.0
99,c4d_140217_080925_ooi_z_ls11.fits.fz 1b67f59e1fba05a5e3acdae65d968d89,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/1b67f59e1fba05a5e3acdae65d968d89,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,23.316697948507,23.7,16.0
100,tu2188149.fits.fz 49a40b68a980d1047580d3ae8e5cadef,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/49a40b68a980d1047580d3ae8e5cadef,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,23.31670915401898,23.7,16.0
101,tu2188354.fits.fz f71b4811773a06d2eda7615f9f5b5370,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/f71b4811773a06d2eda7615f9f5b5370,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,23.31670915401898,23.7,16.0
102,c4d_140217_081452_ori.fits.fz 5e78c50bec2f59628b75c2d13ed57d8d,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/5e78c50bec2f59628b75c2d13ed57d8d,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,23.31670915401898,23.7,16.0
103,c4d_140217_081452_ooi_z_ls11.fits.fz d9bfc52d4d104f75546773ebfaa6d027,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/d9bfc52d4d104f75546773ebfaa6d027,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,23.31670915401898,23.7,16.0
104,tu2187957.fits.fz 1f9349a282dc999b45303d5869bdc6c1,56705.3451183954,z,300,237.636313006934,5.242388483559,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/1f9349a282dc999b45303d5869bdc6c1,,2456705.845118,+15:50:33.0197,+05:14:31.331,10.544355555160193,10.657710990294005,22.73852011443508,5.30723390036293,93.9266571806881,0.0726101894885869,0.0704844986885012,-18.000363975877036,23.316728138273,23.7,16.0
105,tu2187980.fits.fz 147357bf7b59eedab8686b4ac909a587,56705.3451183954,z,300,237.636313006934,5.242388483559,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/147357bf7b59eedab8686b4ac909a587,,2456705.845118,+15:50:33.0197,+05:14:31.331,10.544355555160193,10.657710990294005,22.73852011443508,5.30723390036293,93.9266571806881,0.0726101894885869,0.0704844986885012,-18.000363975877036,23.316728138273,23.7,16.0
106,c4d_140217_082023_ori.fits.fz 0d26a9462bdf5d29ad1ecf3274a2a8f3,56705.3451183954,z,300,237.636313006934,5.242388483559,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/0d26a9462bdf5d29ad1ecf3274a2a8f3,,2456705.845118,+15:50:33.0197,+05:14:31.331,10.544355555160193,10.657710990294005,22.73852011443508,5.30723390036293,93.9266571806881,0.0726101894885869,0.0704844986885012,-18.000363975877036,23.316728138273,23.7,16.0
