,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV,Tmag,Limiting,Saturation
249,ztf_20180402522917_000433_zg_c08_o_q3_sciimg,58210.5231829113,zg,30,260.207927109916,-4.22996774987818,433,ZTF,CTIO,,2458211.023183,+17:20:50.2044,-04:13:49.175,17.57172446298344,17.962260742811843,26.089948827939608,2.967695541760584,111.50671420368364,-0.025806486711452,0.0349013528887437,-17.80902749709253,13.763501883766468,20.0,12.5
250,ztf_20180408508831_000433_zr_c08_o_q3_sciimg,58216.5090162112,zr,30,260.129900412691,-4.14730758445276,433,ZTF,CTIO,,2458217.009016,+17:20:31.4753,-04:08:51.617,17.512251083617198,17.990255164874007,26.078606369478308,2.840393271209192,117.08493740784488,-0.0391318201031762,0.0340598953103993,-16.552647574363107,13.791431050265963,20.0,12.5
259,ztf_20180428395937_000432_zg_c05_o_q4_sciimg,58236.396620411,zg,30,259.655739227122,-3.89822625212287,432,ZTF,CTIO,,2458236.89662,+17:18:37.6777,-03:53:54.915,17.354411578442615,18.08318676659582,26.050473768953992,2.246599642899637,135.24164453155598,-0.0780301403929117,0.0276624021878301,-10.485442889478508,13.878695257011946,20.0,12.5
260,ztf_20180428396898_000433_zg_c08_o_q3_sciimg,58236.3970833109,zg,30,259.655724722925,-3.8982211345073,433,ZTF,CTIO,,2458236.897083,+17:18:37.6742,-03:53:54.896,17.35440877468374,18.08318892871373,26.050473326945024,2.2465833946623404,135.24205516901986,-0.0780309139510378,0.0276621939583226,-10.485273420580144,13.878697108611552,20.0,12.5
261,ztf_20180428460093_000433_zg_c08_o_q3_sciimg,58236.4602662111,zg,30,259.653744992052,-3.89752261244396,433,ZTF,CTIO,,2458236.960266,+17:18:37.1995,-03:53:52.381,17.354026586700986,18.08348398011901,26.05041311344724,2.244365310346127,135.29808485308294,-0.0781364163700037,0.0276337553868545,-10.462136636076416,13.878949840212357,20.0,12.5
262,ztf_20180506437847_000432_zg_c05_o_q4_sciimg,58244.438032411,zg,30,259.383603073751,-3.81546197077356,432,ZTF,CTIO,,2458244.938032,+17:17:32.3632,-03:48:56.933,17.312807254993633,18.120728638930203,26.04455322406178,1.9542134764043104,142.2260346589823,-0.0904599158964383,0.0236848517612435,-7.37598757807658,13.912860905011971,20.0,12.5
263,ztf_20180509376551_000432_zg_c05_o_q4_sciimg,58247.3767245109,zg,30,259.274658498774,-3.78857162027904,432,ZTF,CTIO,,2458247.876725,+17:17:06.2137,-03:47:20.126,17.30131649229412,18.134443167886356,26.043312631213865,1.8441454199081768,144.68395850236263,-0.0944639236871741,0.0220529034917345,-6.157830515870733,13.92461567341155,20.0,12.5
264,ztf_20180509437870_000432_zr_c05_o_q4_sciimg,58247.4380555111,zr,30,259.272330476224,-3.78803156674949,432,ZTF,CTIO,,2458247.938056,+17:17:05.6560,-03:47:18.180,17.301098836132272,18.134729364029702,26.04329226492949,1.841842470903438,144.73456637472327,-0.094544154225706,0.0220178429514869,-6.131956460725606,13.924860997412354,20.0,12.5
265,ztf_20180518439803_000432_zr_c05_o_q4_sciimg,58256.439988411,zr,30,258.911872152921,-3.71853229819454,432,ZTF,CTIO,,2458256.939988,+17:15:39.1457,-03:43:08.001,17.27941562198402,18.176723582749165,26.04286852278473,1.5095526100281955,151.7455167086777,-0.1046701042095699,0.0164442931015735,-2.153492309095904,13.961868729011972,20.0,12.5
266,ztf_20180524335694_000432_zr_c05_o_q3_sciimg,58262.3358680112,zr,30,258.658680457676,-3.68445976005604,432,ZTF,CTIO,,2458262.835868,+17:14:38.3743,-03:41:05.358,17.27673417145229,18.204214448558645,26.04547622488469,1.3132027922045812,155.66984560685412,-0.1093635764580325,0.0124062321635456,0.5900654374973704,13.986452247412759,20.0,12.5
267,ztf_20180524399398_000432_zg_c05_o_q3_sciimg,58262.3995717112,zg,30,258.655885457838,-3.68414655019772,432,ZTF,CTIO,,2458262.899572,+17:14:37.7039,-03:41:04.222,17.27675643228657,18.204511424153228,26.04551724486819,1.311255889551192,155.7081100000075,-0.1094059735524528,0.0123613540719367,0.6200548375595953,13.986707062212751,20.0,12.5
268,ztf_20180531313345_000432_zg_c05_o_q3_sciimg,58269.3139005113,zg,30,258.347241256009,-3.65681539852292,432,ZTF,CTIO,,2458269.813901,+17:13:23.6299,-03:39:25.838,17.285778857865395,18.236737220110705,26.051625227602187,1.1340962841061648,159.14340069713705,-0.1129920116894115,0.0073593369230131,3.9099366332733623,14.01536437741315,20.0,12.5
269,ztf_20180531355521_000432_zr_c05_o_q3_sciimg,58269.3557292111,zr,30,258.34534676448,-3.65669456005682,432,ZTF,CTIO,,2458269.855729,+17:13:23.1752,-03:39:25.395,17.285873553131943,18.236932124013087,26.051672226477223,1.1332740272310455,159.15913584186157,-0.1130076009459611,0.0073283386226266,3.9300361882580335,14.015531692212361,20.0,12.5
270,ztf_20180604311898_000432_zg_c05_o_q3_sciimg,58273.3120833109,zg,30,258.165180521859,-3.64744341438987,432,ZTF,CTIO,,2458273.812083,+17:12:39.9286,-03:38:52.066,17.297032637728325,18.25536490953805,26.056668641650205,1.072677248142914,160.3124746659827,-0.1141447822974977,0.0043598489222013,5.840478873838335,14.032357108611555,20.0,12.5
